1, 8
2, 8
3, 8
4, 8
5, 8
6, 7
7, 7
8, 7
9, 7
10, 7
11, 19
12, 19
13, 19
14, 19
15, 19
16, 18
17, 18
18, 18
19, 18
20, 18
21, 15
22, 15
23, 15
24, 15
25, 15
26, 23
27, 23
28, 23
29, 23
30, 23
31, 1
32, 1
33, 1
34, 1
35, 1
36, 5
37, 5
38, 5
39, 5
40, 5
41, 13
42, 13
43, 13
44, 13
45, 13
46, 22
47, 22
48, 22
49, 22
50, 22
51, 21
52, 21
53, 21
54, 21
55, 21
56, 25
57, 25
58, 25
59, 25
60, 25
61, 11
62, 11
63, 11
64, 11
65, 11
66, 10
67, 10
68, 10
69, 10
70, 10
71, 12
72, 12
73, 12
74, 12
75, 12
76, 24
77, 24
78, 24
79, 24
80, 24
81, 6
82, 6
83, 6
84, 6
85, 6
86, 14
87, 14
88, 14
89, 14
90, 14
91, 20
92, 20
93, 20
94, 20
95, 20
96, 4
97, 4
98, 4
99, 4
100, 4
101, 3
102, 3
103, 3
104, 3
105, 3
106, 16
107, 16
108, 16
109, 16
110, 16
111, 17
112, 17
113, 17
114, 17
115, 17
116, 2
117, 2
118, 2
119, 2
120, 2
121, 9
122, 9
123, 9
124, 9
125, 9
