1, 5
2, 6
3, 7
4, 5
5, 11
6, 12
7, 9
8, 3
9, 10
10, 5
11, 9
12, 10
13, 4
14, 1
15, 5
16, 6
17, 8
18, 4
19, 6
20, 6
21, 2
22, 5
23, 1
24, 2
25, 1
26, 2
27, 1
28, 12
29, 8
30, 6
31, 7
32, 2
33, 2
34, 8
35, 4
36, 11
37, 10
38, 7
39, 1
40, 1
41, 4
42, 1
43, 3
44, 4
45, 10
46, 2
47, 9
48, 12
49, 9
50, 6
51, 11
52, 2
53, 7
54, 3
55, 8
56, 7
57, 11
58, 2
59, 5
60, 2
61, 3
62, 8
63, 8
64, 9
65, 3
66, 4
67, 1
68, 6
69, 7
70, 7
71, 5
72, 4
73, 7
74, 9
75, 3
76, 3
77, 1
78, 9
79, 3
80, 8
81, 9
82, 1
83, 3
84, 5
85, 10
86, 5
87, 1
88, 4
89, 11
90, 6
91, 3
92, 1
93, 4
94, 9
95, 10
96, 9
97, 8
98, 4
99, 10
100, 2
101, 7
102, 12
103, 6
104, 11
105, 2
106, 12
107, 11
108, 10
109, 5
110, 11
111, 12
112, 12
113, 2
114, 8
115, 3
